id,name,service_id,location_id,service_at_location_id,weekday,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description
975413515685238,,943690370414778,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1158805154331276,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1189862050430597,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1206515011255222,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1237618325820422,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1247441946122537,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1249421918700941,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1330460837989046,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,596509168605852,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,609280054378490,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,822886605211738,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,842118695599527,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,956316316250592,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,943690370414778,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1158805154331276,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1189862050430597,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1206515011255222,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1237618325820422,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1247441946122537,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1249421918700941,,,Friday,,,8:00AM,2:00PM,,,,,,,,
975413515685238,,1330460837989046,,,Friday,,,8:00AM,2:00PM,,,,,,,,
985065153697255,,1279930862215019,,,Monday-Friday,,,9:00AM,1:00PM,,,,,,,,
988901956433340,,660905682344295,,,Tuesday,,,5:30PM,6:30PM,,,,,,,,
1004866828511863,,953570402846759,,,"Tuesday & Thursday",,,9:30AM,7:00PM,,,,,,,,
1004866828511863,,1225681361275050,,,"Tuesday & Thursday",,,9:30AM,7:00PM,,,,,,,,
1004866828511863,,953570402846759,,,"Tuesday & Thursday",,,9:30AM,7:00PM,,,,,,,,
1004866828511863,,1225681361275050,,,"Tuesday & Thursday",,,9:30AM,7:00PM,,,,,,,,
1020867523036081,,1166038612489262,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1029747991384958,,943521538490652,,,Monday,,,1:00PM,4:00PM,,,,,,,,
1078713175270884,,580060602461538,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,853599380702227,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1107477274966494,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1135119642997578,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1166038612489262,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1229961680483259,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1273614384596478,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,580060602461538,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,853599380702227,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1107477274966494,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1135119642997578,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1166038612489262,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1229961680483259,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1273614384596478,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,580060602461538,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,853599380702227,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1107477274966494,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1135119642997578,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1166038612489262,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1229961680483259,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1273614384596478,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,580060602461538,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,853599380702227,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1107477274966494,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1135119642997578,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1166038612489262,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1229961680483259,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1273614384596478,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,580060602461538,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,853599380702227,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1107477274966494,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1135119642997578,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1166038612489262,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1229961680483259,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1273614384596478,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,580060602461538,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,853599380702227,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
1078713175270884,,1107477274966494,,,Monday-Friday,,,9:00AM,5:00PM,,,,,,,,
