"taxonomy_recordid","taxonomy_type_recordid"
"929932272422839","1081834932991779"
"1291969667893408","1081834932991779"
"841227795962370","1081834932991779"
"876072370037480","1081834932991779"
"1242234055511863","1081834932991779"
"1277101341169416","1081834932991779"
"764797459068982","1081834932991779"
"1323975618617949","1081834932991779"
"1290232408840072","1081834932991779"
"625977127820194","1081834932991779"
"1321490465403348","1081834932991779"
"1137007817102397","1081834932991779"
"1238748896910244","1081834932991779"
"1078085049466319","1081834932991779"
"1269018426000715","1081834932991779"
"1289547496287422","1081834932991779"
"892728609485756","1081834932991779"
"1088641745882951","1081834932991779"
"1149991867826919","1081834932991779"
"610322186793257","1081834932991779"
"985893316061112","1081834932991779"
"629380122005095","1081834932991779"
"774629790331236","1081834932991779"
"885604845315230","1081834932991779"
"1129144548042060","1081834932991779"
"1292438606384099","1081834932991779"
"849037910727477","1081834932991779"
"1218316969190320","1081834932991779"
"879051723324085","1081834932991779"
"1222064688064866","1081834932991779"
"851636387581415","1081834932991779"
"982524299511218","1081834932991779"
"1198672807706897","1081834932991779"
"1133595924005374","1081834932991779"
"847186792894551","1081834932991779"
"1117576465924543","1081834932991779"
"978140125912052","1081834932991779"
"1267748313114955","1081834932991779"
"930626679893969","1081834932991779"
"994637796113653","1081834932991779"
"632722910223412","1081834932991779"
"1000668362731472","1081834932991779"
"1236600629445698","1081834932991779"
"1221398862557362","1081834932991779"
"1185056435919524","1081834932991779"
"910742652297512","1081834932991779"
"969114221652955","1081834932991779"
"608267763327487","1081834932991779"
"1287667361952257","1081834932991779"
"937614928620819","1081834932991779"
"594357854377389","1081834932991779"
"977758856598128","1081834932991779"
"1316589317502463","1081834932991779"
"1317857645388030","1081834932991779"
"1139839930624727","1081834932991779"
"772638817096683","1081834932991779"
"1210543691411181","1081834932991779"
"1054161113243743","1081834932991779"
"713360107412317","1081834932991779"
"940079755845898","1081834932991779"
"1296225794307299","1081834932991779"
"533832483389123","1081834932991779"
"838767211746160","1081834932991779"
"742573749443370","1081834932991779"
"1005131331152756","1081834932991779"
"754865326124113","1081834932991779"
"758960875077789","1081834932991779"
"900556679417898","1081834932991779"
"818150474957808","1081834932991779"
"876849061746143","1081834932991779"
"751819565696252","1081834932991779"
"620501575533772","1081834932991779"
"1158147295077777","1081834932991779"
"1195259342342323","1081834932991779"
"620913268509646","1081834932991779"
"938095594545503","1081834932991779"
"678945436299788","1081834932991779"
"1156659172953725","1081834932991779"
"932692693517000","1081834932991779"
"1005108170468430","1081834932991779"
"1116563785046662","1081834932991779"
"1097463912052339","1081834932991779"
"928322341971989","1081834932991779"
"1235946450796980","1081834932991779"
"1128539471674801","1081834932991779"
"894278665383286","1081834932991779"
"1024212243896240","1081834932991779"
"769442360904001","1081834932991779"
"788545605785566","1081834932991779"
"1155007105799673","1081834932991779"
"655659997806706","1081834932991779"
"913465370653832","1081834932991779"
"916838906992046","1081834932991779"
"966489790841437","1081834932991779"
"1172239494288193","1081834932991779"
"1077085927218062","1081834932991779"
"821106469654991","1081834932991779"
"796086178758931","1081834932991779"
"1159454952921042","1081834932991779"
"1128437262265498","1081834932991779"
"801451294791750","1081834932991779"
"1256561487908560","1081834932991779"
"950295775722822","1081834932991779"
"1304951476177852","1081834932991779"
"1258157763922840","1081834932991779"
"1246679254354805","1081834932991779"
"1116300227520681","1081834932991779"
"1351267360227150","1081834932991779"
"1351267360227152","1081834932991779"
"1351267360227170","1081834932991779"
"1351267360227171","1081834932991779"
