"taxonomy_recordid","taxonomy_type_recordid"
"804988834413588","629864383953331"
"600702532354257","629864383953331"
"839753638188280","629864383953331"
"970576219428839","629864383953331"
"1164058436905621","629864383953331"
"645020033411340","629864383953331"
"822958875627856","629864383953331"
"779743205099707","629864383953331"
"867392726213096","629864383953331"
"907018824409869","629864383953331"
"1190865361469986","629864383953331"
"824774385817237","629864383953331"
"656166932664053","629864383953331"
"637587591909881","629864383953331"
"1056592274671514","629864383953331"
"1175009392627115","629864383953331"
"1221586946973071","629864383953331"
"770192788997350","629864383953331"
"591686322682243","629864383953331"
"622101334810848","629864383953331"
"981004781284407","629864383953331"
"1063160308652400","629864383953331"
"745200262392648","629864383953331"
"893915418546777","629864383953331"
"1235658330362031","629864383953331"
"1228385258535588","629864383953331"
"603028983607249","629864383953331"
"1087763039912019","629864383953331"
"1136321764546973","629864383953331"
"1150739665501290","629864383953331"
"1288689768871609","629864383953331"
"897050828053862","629864383953331"
"1324762445004848","629864383953331"
"1193736021448376","629864383953331"
"1211047892279140","629864383953331"
"771397719308358","629864383953331"
"1124853964567758","629864383953331"
"1186613002076967","629864383953331"
"729978449177558","629864383953331"
"639683809732866","629864383953331"
"946916902767009","629864383953331"
"952065863425741","629864383953331"
"964978986111653","629864383953331"
"749673547946260","629864383953331"
"985705289030137","629864383953331"
"1104421346923013","629864383953331"
"761507437839279","629864383953331"
"1219345248905961","629864383953331"
"1152456768671865","629864383953331"
"976566727118378","629864383953331"
"1169956847122981","629864383953331"
"796870551245598","629864383953331"
"975831365187379","629864383953331"
"859021943105649","629864383953331"
"1134365017275504","629864383953331"
"1054110730145742","629864383953331"
"948368144575516","629864383953331"
"1167670310712474","629864383953331"
"567772705271262","629864383953331"
"798567761994199","629864383953331"
"666755781872045","629864383953331"
"630013980013392","629864383953331"
"944127246528233","629864383953331"
"1205418622558442","629864383953331"
"862799574351361","629864383953331"
"848353838408166","629864383953331"
"884990506453053","629864383953331"
"931319187808426","629864383953331"
"1089843134062996","629864383953331"
"1130137565137737","629864383953331"
"625453832938852","629864383953331"
"1211420433536032","629864383953331"
"1320302684728105","629864383953331"
"1190094646494855","629864383953331"
"1102011945010404","629864383953331"
"601744181699079","629864383953331"
"604293104050562","629864383953331"
"1210001318958777","629864383953331"
"777783595078102","629864383953331"
"888476474892241","629864383953331"
"786843100010907","629864383953331"
"1126252598378300","629864383953331"
"760682869186995","629864383953331"
"811387316911588","629864383953331"
"764499959924021","629864383953331"
"698447380354993","629864383953331"
"842032101664236","629864383953331"
"1293967973490870","629864383953331"
"928634817824512","629864383953331"
"1125729387706168","629864383953331"
"777005893906972","629864383953331"
"1216646091883750","629864383953331"
"850871160684969","629864383953331"
"918504197761606","629864383953331"
"605631199983458","629864383953331"
"681677173698449","629864383953331"
"1180601869455614","629864383953331"
"1203348494376262","629864383953331"
"688102827594831","629864383953331"
"1269871832519469","629864383953331"
"1305774265925553","629864383953331"
"891529659623486","629864383953331"
"873778996234656","629864383953331"
"1216065968251829","629864383953331"
