id,service_id,taxonomy_id,taxonomy_detail
19009,7591,BH-8400,
19010,7592,PH-1000,
19011,7593,LF-4900.2400,
19012,7594,LT-3400.1500,
19013,7595,LT-3400.0100,
22456,8195,LV-2600,
25218,8893,PX,
19015,7596,LT-3400.2000,
19017,5179,DD-1500.1055,
19018,3085,RP-5000.5000,
19019,3085,RP-5000.6500,
19020,3085,RP-5000.6400,
19021,3085,PN-8100.5000,
19022,3087,RP-6400.1500,
19023,3087,RP-6400.0200,
19024,3087,RP-6400.2700,
19025,7080,LV-6000.2550,
19026,7080,LJ-5000.6600,
19027,7080,LJ-5000.6500,
19028,7080,LV-6800,
19029,7080,LJ-2000.6750,
19030,7080,LV-7500,
19031,7080,LF-4900.6200,
19032,3470,BH-8400.6000-060,
19033,850,RP-6400.2700,
19035,7598,LJ-5000.1000,
19037,7599,LJ-5000.1500,
19068,7602,PL-6400.1500-820,
19039,7600,LH-2700.2000-330,
19040,7600,JR-8200.8500-150,
19043,849,LL-3000,
19050,1484,BH-3700.3000,
19051,1484,DM-1800.2000,
19052,1484,DM-6500,
19053,2222,HL-3010.3300,
19054,3410,RF-3300,
19055,3410,RP-1500.1400,
19056,3410,TJ-3000,
19057,3410,TJ-3000.8500,
19058,6896,TH-1500.1600,
19060,6909,PS-9800.9800,
19061,6909,PS-9800.9750,
19236,2029,RX-8450.1150-180,
19237,2029,TJ-3000.8000,
19238,2029,RX-8450.8000-050,
19239,2029,RX-8450.8000-180,
19240,2028,RX-8450.8000-050,
19241,2028,RX-8450.8000-180,
19242,2028,RP-1400.8000-800,
19245,2032,RX-8450.7000-750,
19246,2032,RX-8450.7000-700,
19247,104,RX-8450.1150-150,
19248,104,RX-8450.1150-180,
19249,104,RX-8450.7000-700,
19250,104,RX-8450.7000-750,
19251,104,LV-3300,
19252,104,LV-1800,
19253,104,LV-6000.2550,
19254,104,LV-7200,
19255,104,LH-0600.6500-650,
19256,104,BT-4500.6500-500,
19257,104,LH-2700.0150,
19258,104,LH-2700,
19259,104,NL-5000.5000,
19260,104,LV-6800,
19261,104,LJ-2000,
19262,104,LJ-5000.6600,
19263,104,LF-5280.1500,
19264,105,RP-5000.6400,
19265,105,RP-6400.2500,
19266,105,BT-4500.6500-500,
19267,105,PH-1000,
22458,8195,LV-6800,
19269,105,LF-5280.1500,
19270,105,LV-6800,
19271,102,RX-8450.1150-150,
19272,102,RX-8450.1150-180,
19273,102,PH-1000,
19274,102,LV-6000,
19275,102,LV-1600,
19276,102,LV-2400.6350,
19277,102,LH-2700.0150,
19278,107,RP-6400.2500,
19279,107,RP-5000.6400,
19280,107,BT-4500.6500-500,
19281,107,PH-1000,
22459,8195,LV-6000.2550,
19283,107,LV-6800,
19284,107,LJ-5000.6600,
19285,107,LF-4800,
19286,107,LF-5280.1500,
19287,5812,RX-0400.1855,
19288,5812,RX-0400.8200,
19289,5812,LF-4900.2400,
19290,5812,TJ-3000.8000,
19291,7050,LF-5280.1500,
19292,7050,LV-6800,
22460,8195,LV-6000.2400,
19294,7050,PH-1000,
19295,7050,BT-4500.6500-500,
19296,7050,RP-6400.2500,
19297,7050,RP-5000.6400,
19298,103,RX-8450.6600-600,
19299,103,RX-8450.6600-650,
19300,6929,PH-1250.1800,
19301,318,TB,
19302,6932,TD-1200.6600-150,
19304,3644,PH-3300.3000,
19305,3644,PH-3300.6500,
19306,3644,PH-7000.3300-040,
19307,3644,PH-1400.4500,
19308,3644,LT-2800.3000,
19309,5155,FC-8200,
19310,5467,PL-6400.1300,
19315,2267,RP-1500.1400-200,
19316,6944,LN-1500,
20562,1022,LT-3400.0100,
20563,1022,LR-6600,
19317,23,DM-2000,
19318,23,ND-6500.9800,
19319,23,PH-6200,
19320,23,PS-9800,
19321,23,PS-9800.9700,
19322,1348,LL-3000.1500,
19323,7644,PH-1250.1800,
21488,7967,TD-1600.2800,
19325,1349,LV-3300.2800,
19326,1351,RP-5000.1500,
19327,1351,RP-5000.5000,
19328,1351,RP-5000.6400,
19330,1351,RP-6400.0200,
19331,1351,RP-5000.5000-180,
19332,1351,RP-5000.5000-050,
19333,1351,RP-6400.8000-650.64,
19334,1351,RD-1500,
19335,514,LV-6800,
19337,5211,BD-1800.2000-640,
22129,8107,FN-1500.3600,
22461,8195,LF-4900.6200,
19340,3983,PH-1250.1400,
24691,8795,DM-1500.1500,
19342,6241,LH-2700.0150,
19343,6241,LJ-8000.2500,
19344,6241,LJ-8000.8000,
19345,6247,TC-5500.9800,
19354,6855,PH-6100.1800-680,
19355,3179,BH-3700.3000,
19356,3179,BH-3900.3050,
19357,3179,DM-1800.2000,
19358,3179,DM-2000,
19359,3179,HH-0500.8000-150,
19360,3179,LF-0100,
19372,7648,TD-1600.6000,
19362,3179,PH-0800,
19501,795,RP-1500.3300,
19503,797,RP-1500.3300,
19504,800,LR-3200,
20567,3320,LF-4900.1500-500,
20568,3320,LF-4900.6500-100,
19538,6980,FN-1700,
19539,876,PL-7400.1500,
19540,877,ND-9000,
19541,878,PH-6200.8300,
19542,7091,RD-1000.1000,
19543,7091,RR-5150.2500,
19544,1432,LH-5100.5000,
19545,1432,HL-8000.8000,
19546,1432,PN-8100.3000,
19547,1167,FN-1700.3200,
19548,190,PL-6400.6500,
19549,2132,TN-1000.1500,
19550,3433,TN-1000.1500,
19556,6011,FP-0500.3300,
19557,6011,FT-1000.2500,
19558,6011,FT-6100,
19559,6011,PH-3500,
19560,6792,LN-1500,
19561,6792,LV-6800,
19562,6792,LV-1600,
19563,6792,LF-4900.2000-900,
19564,6792,LR-8000.0500,
