id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at,original_text
,8261,,,Friday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8263,,,Tuesday,3:30pm,5:30pm,"3:30pm-5:30pm, Tue, Thur"
,8265,,,Monday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8265,,,Tuesday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8265,,,Wednesday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8265,,,Thursday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8265,,,Friday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8266,,,Monday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8266,,,Tuesday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8266,,,Wednesday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8266,,,Thursday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8266,,,Friday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8270,,,Monday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,8270,,,Tuesday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,8270,,,Wednesday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,8270,,,Thursday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,8270,,,Friday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,8280,,,Monday,8:15am,2:45pm,"8:15am-2:45pm, Mon-Fri"
,8280,,,Tuesday,8:15am,2:45pm,"8:15am-2:45pm, Mon-Fri"
,8280,,,Wednesday,8:15am,2:45pm,"8:15am-2:45pm, Mon-Fri"
,8280,,,Thursday,8:15am,2:45pm,"8:15am-2:45pm, Mon-Fri"
,8280,,,Friday,8:15am,2:45pm,"8:15am-2:45pm, Mon-Fri"
,8283,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8283,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8283,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8283,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8283,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8285,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8285,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8285,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8285,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8285,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8286,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8286,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8286,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8286,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8286,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8287,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8287,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8287,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8287,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8287,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8288,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8288,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8288,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8288,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8288,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8289,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8289,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8289,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8289,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8289,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8292,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8292,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8292,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8292,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8292,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8293,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8293,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8293,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8293,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8293,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8294,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8294,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8294,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8294,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8294,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,8383,,,Monday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8383,,,Tuesday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8383,,,Wednesday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8383,,,Thursday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8383,,,Friday,8:30am,5:00pm,"8:30am-5:00pm, Mon-Fri"
,8384,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8384,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8384,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8384,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8384,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8385,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8385,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8385,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8385,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8385,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8386,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8386,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8386,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8386,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8386,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8387,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8387,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8387,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8387,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8387,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8388,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8388,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8388,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8388,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8388,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8389,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8389,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8389,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8389,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8389,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8390,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8390,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8390,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8390,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8390,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8391,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8391,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8391,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
