id,service_id,taxonomy_id,taxonomy_detail
10298,5812,RM-6500,
5146,2873,FT-6900.2500,
18140,6862,LF-7100.2500,
5215,2900,PS-9800,
5216,2900,PH-1250.1800,
5233,2915,PH-1250.1800,
15200,174,PH-1250.1400,
15597,25,RD-6800.6500,
15598,25,RF-3300,
15599,25,RF-2000,
15600,25,RF-2500,
15601,25,RM-6500.6500,
5370,3028,PH-1250.1800,
5371,3028,PS-9800.9900,
21453,7951,PL-6400.1500-820,
5230,2912,PH-1250.1800,
20461,292,TJ-6500,
5502,3141,DF-4500,
5503,3141,DD-1500,
5536,3176,TJ-6500,
5537,3176,LH-2700.1700,
5147,2874,ND-2000.1500-160,
5148,2874,HH-9000,
10299,5812,RF-2500,
5151,2874,RF-3300,
5152,2874,BH-8400.6000-060,
5153,2874,FP-0500.7800,
18141,6862,LT-3400.0100,
5266,2929,LH-3500.5000,
5271,2935,PH-7000,
13583,6816,BT-4500.4700-500,
13584,6816,BT-4500.6500-280,
13784,6864,LN-1500,
18142,6862,LT-3400.1500,
5583,3230,LH-3000,
5598,3239,PH-1000,
5154,2874,PH-0320,
5658,3297,TJ-6500,
5659,3297,FN-1500.1900-800,
5732,3360,PH-3300.3000,
5733,3360,NL-6000.2000,
5734,3360,NS-8000,
5738,3362,PH-3300.3000,
5739,3362,NL-6000.2000,
5740,3362,NS-8000,
15603,7223,PH-2950.8500-870,
5930,3484,LT-1750.0500,
5931,3484,LF-4900.2400,
13582,6815,BT-4500.6500-280,
6594,3971,LH-0500.0900-100,
6602,3979,HH-4500,
6603,3979,HD-1800,
6604,3979,HL-3010.6500,
20464,6915,BM-6500.6500-650,
6340,3787,BD-5000.1500,
6341,3787,TC-5500.8000,
6342,3787,BD-5000.3500,
6597,3973,LJ-5000,
6614,3990,HD-1800.6500,
15215,2949,BT-4500.4700-800,
6380,3830,TQ-1800,
6606,3980,PH-6200.4600,
6607,3980,HH-0500.1500,
15607,4204,PH-1800.4600,
22947,752,LF-7300.2000-260,
18149,3603,RP-1500.3300,
16099,3732,LH-2700.6000-300,
15216,2949,BD-5000.1500,
6374,3822,TJ-3000,
20465,6915,HL-8120.7800-200,
6542,3941,PH-1250.1800,
6657,3230,NL-5000.5000,
6658,3232,NL-5000.5000,
15217,2949,BD-5000.3500,
22057,8100,TB-0700.2200,
6697,4032,PN-8100.0500,
6700,4034,PH-6500.0500-180,
6711,4037,HD-1800.3000,
9204,5184,DF-7000.1200,
9205,5184,DF-7000.1700-300,
20466,6915,TI-1800.6700,
11714,6273,TD-1600.2600,
11715,6273,RP-1500.1400-700,
6749,4043,HL-8120.8030,
6751,4045,RF-3300,
6753,4045,RP-1500.1400-180,
6754,4045,RP-1500.1400-200,
6755,4045,RP-1500.1400-250,
6756,4045,RP-1500.1400-500,
6757,4045,RP-1500.1400-700,
6758,4045,RP-1500.1400-750,
6770,4048,HL-8120.8030,
18150,3603,RF-3300,
6779,4052,PH-6100.6800,
6780,4053,PH-6100.6800,
16100,3732,DM-2000,
6787,2412,PH-1250.1800,
6788,4060,RP-1500.1400-800,
6789,4060,RP-1400.8000-805,
6790,4060,RP-1400.8000-825,
6791,4062,PS-9800,
6792,4062,TJ-3000,
6793,4062,TJ-6500,
6795,4059,RP-1500.1400-800,
6797,4059,RP-1400.2500,
6798,4063,TH-2900.1700-160,
20467,6915,TI-1800.8100,
11716,6273,RR-5150.5000-700,
6831,1983,PH-1250.1800,
6832,4072,PH-2360.2400,
6837,4070,PH-1000,
6838,4075,PH-1250.1800,
22948,752,BM-6500.1500-100,
6845,4079,PH-1250.1800,
18151,3603,BD-1800.2000-640,
6855,1119,DD-1500.4280-600,
25539,8996,FF-1900,
16101,3732,ND-2000.1500-160,
6884,4091,LR-1700,
6861,0,J,
6862,0,N,
6904,4099,BH-8400.6000-280,
6905,4100,BH-8400.6000-280,
11717,6273,PX-2300.8030,
6910,2555,PH-1250.1800,
6917,1337,PH-1250.1800,
6921,2534,PH-1250.1800,
6937,4104,PH-1250.1800,
16102,3732,JR-8200.6500-350,
6950,3734,PH-1250.1800,
18152,3603,BM-6500.1500-250,
6964,4113,BH-8400.6000-280,
6965,2293,PH-1250.1800,
6971,4118,JD-1500.9600-960,
6972,2230,RP-1400.8000-250,
21190,7877,PX,
6975,4121,PS-9800.9900,
6979,4123,PS-9800.9900,
7040,4127,PH-1250.1800,
7042,3973,PH-6100.3300,
7043,3973,PH-6100.1800-680,
7046,1249,HD-8200,
7049,1226,HD-8200,
7060,35,FT-3000.1600,
18153,3603,RF-2500,
7095,1684,PH-6100,
18154,3603,FP-0500.3300,
7129,4159,PH-6100.6800,
7164,3340,RP-1400.8000-800,
7167,4042,RP-1400.8000-800,
7169,3339,RP-1400.8000-800,
22949,752,BD-1800.8200-250,
7158,4169,LJ-2000.6750,
7161,4170,LJ-2000.6750,
7163,3340,RP-1400.8000-020.18,
7165,4042,FN-1700.1300,
7166,4042,RP-1400.8000-020.18,
7172,662,ND-9000,
16103,3732,HH-4500.2000,
7179,2062,RF-3300,
13618,6824,NL-1000.8500,
13619,6824,NL-6000.2000,
13620,6824,NS-8000,
13724,360,PL-8700.2000,
16108,6354,PH-3300.3220,
13839,5961,PN-8100.3000,
13843,6882,TH-1500.1600,
13844,3088,LD-1700,
13880,6043,DM-6500,
22061,8100,LH-0600.5000-970.50,
7740,4093,TD-1600.2600,
7742,4328,PH-1250.1800,
7743,4328,PL-7000.5800,
7746,4045,PX-1800.1500-250,
7747,4045,PX-1800.1500-200,
7748,4045,PX-1800.1500-150,
22441,8194,LJ-2000,
7749,4045,PX-1800.1500-100,
7750,4062,PX-1800.1500-100,
7751,4062,PX-1800.1500-150,
7752,4062,PX-1800.1500-200,
7753,4062,PX-1800.1500-250,
7754,4059,PX-1800.1500-100,
7755,4059,PX-1800.1500-150,
7756,4059,PX-1800.1500-200,
7757,4059,PX-1800.1500-250,
7759,2536,RF-2500,
7760,2536,RF-3300,
7761,2538,RF-3300,
7762,2538,RF-2500,
7763,2538,PH-1250.1800,
7764,2535,RF-3300,
7765,2535,RF-2500,
7766,2535,PH-1250.1800,
7767,2539,HD-0500.1700,
7816,4338,LH-6600,
7818,680,PH-6200.4600,
10391,5856,HH-0500.8000-150,
16109,6354,PH-3300.3000,
7864,4343,PH-1250.1800,
7868,4345,LV-6800,
7874,921,RF-2000,
7877,924,RF-2000,
21459,7953,PL-6400.1500-820,
7889,4350,LH-3500,
7890,4350,LH-2700.9500-100,
7892,4351,LH-2700.9500-100,
7893,4351,LH-3500,
22062,8100,LH-0600.5000-950,
7935,2695,HH-9000,
7936,2695,ND-6500.1500,
7937,2695,LR-3100.1800-190,
7938,2693,BH-8400.6000-840,
