id,name,service_id,location_id,service_at_location_id,weekday,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description,opens_at,closes_at
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",570279198497703,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",615102245607234,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1054654881182092,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1073305429578122,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1049979809257514,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1149133594765984,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1171041183154896,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593029528256419,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1281873572081806,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
593652380535594,"Seabury - Main Hours",736771575912112,1281917418518969,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
593652380535594,"Seabury - Main Hours",938270944825871,1281917418518969,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
593652380535594,"Seabury - Main Hours",963084111494175,1281917418518969,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
593652380535594,"Seabury - Main Hours",1063814078946036,1281917418518969,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
593652380535594,"Seabury - Main Hours",1138527811978367,1281917418518969,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
593652380535594,"Seabury - Main Hours",1210054763234429,1281917418518969,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
593652380535594,"Seabury - Main Hours",1214490568958133,1281917418518969,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
655172898058082,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",771415038083007,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,,,
655172898058082,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",927583086660595,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,,,
